"Timestamp","Age: ","Gender: ","Education level: ","Study Program: ","How familiar are you with the concept of phishing? ","Have you ever been a victim of a phishing attack? ","Have you ever clicked on a link or opened an attachment in a suspicious email? ","How confident are you in identifying phishing attempts in emails or messages ","Can you describe what phishing is in your own words? ","What steps do you currently take to avoid falling victim to phishing? ","Imagine receiving an email from your bank asking for personal information. How would you determine if it is legitimate? "
"2024/08/25 2:35:26 pm EEST","55","Male","Student master ","Student master","1","Maybe","Yes","1","No find in my Email","No open any Email not defind","Send Email to Bank to confirm"
"2024/08/25 3:15:30 pm EEST","26","Male","Master","Computer Science ","4","Maybe","No","3","It's hunting people without them knowing ","Be aware of any suspicious email or message I receive. I don't trust any strange message I get.","They should call me in person. If they really need my information, I would ask for a physical meeting "
"2024/08/25 3:35:10 pm EEST","34","Female","Masters","Computer Science ","5","Maybe","Yes","2","Fake links by some other website names ","I try to not open this kind of emails ","I will cross check with BANK contact number "
"2024/08/25 4:09:46 pm EEST","25","Female","Bachelor","Business English","3","No","No","1","It is a fraud on people for financial purpose such as theft or morale reasons such as withdrawing files or information","I don't open suspicious links or respond to unknown people","If the information is personal but doesn't overlap with account information or password"
"2024/08/25 4:26:28 pm EEST","30","Male","Bachelor ","Computer Science ","5","No","No","5","Fake websites or apps that look exactly like the legitimate website","2 factor authentication ","I won't, even if it's a legitimate email from the bank itself
I'm not obliged to respond or share any information "
"2024/08/25 7:03:00 pm EEST","23","Male","Bachelor student ","Mechatronics","1","Maybe","Maybe","1","Don't know ","Non","Check my online banking app"
"2024/08/25 7:06:29 pm EEST","29","Male","Bachelor Degree","Computer Science ","4","No","Maybe","4","Phishing is a scam where someone tries to trick you into giving away personal information, like passwords or credit card numbers, by pretending to be a trustworthy source, usually through fake emails or websites.






","I avoid phishing by checking the sender's email address, not clicking on suspicious links, verifying requests for personal information, and enabling multi-factor authentication.
","
I would check the sender's email, look for spelling errors, avoid clicking links, and contact the bank directly using their official website or phone number to confirm."
"2024/08/25 7:31:46 pm EEST","34","Female","Bachelor","Translation ","1","No","No","1","Is type of crime","Verify the source","Send to me in phone number "
"2024/08/25 7:41:53 pm EEST","24","Male","Bachelor","Business Computing","3","Yes","","4","Someone or a group sends a person fake messages or emails to take personal or sensitive information about him/her and lend the person at end send etc.","- I try to avoid opeing any strange links or files the I become from strange persons who are unknown. 
","- Maybe I would try to call the bank asking them about that email because a bank should has my personal information before."
"2024/08/25 8:48:27 pm EEST","49","Female","College History ","No","1","No","No","3","هي عمليه نصب واحتيال من أشخاص مجهولين للحصول على المال أو أشياء أخرى.","عدم فتح اي روابط غير معروفه .. أو من أشخاص غير معروفين.","بالتواصل مع البنك لمعرفه اذا كان الايميل صحيح او لا."
"2024/08/30 2:44:28 pm EEST","20","Male","High school ","technology","3","No","No","3","Phishing is a common type of cyber attack that targets individuals through email, text messages, phone calls, and other forms of communication.","Doesn't t click on unknown links ","Call the bank and verify if the email is legitimate"
"2024/08/31 3:27:10 pm EEST","24","Male","Bachelor ","IT","3","Maybe","Yes","2","Someone send you fake message but looks like real message ","Not click on unknown links","Go to the bank"
"2024/09/01 10:23:59 pm EEST","20","Male","High school ","Nothing","2","Yes","Yes","1","Try to steal your personal information ","I don't have any at the moment ","If it is just notification email and not ask for personal information "
"2024/09/01 11:55:51 pm EEST","21","Male","Bachelor ","Information Technology ","3","No","Maybe","2","It is an attack by internet to find your username and password ","Block and report as spam","That is phishing because bank not ask for personal information by email"
